
For documentation, see idn-chars.html

#*** Script: LATIN ***

# Atomic
00EA          ; LATIN ; Decomposable # L& (ê) LATIN SMALL LETTER E WITH CIRCUMFLEX
1EBF          ; LATIN ; Decomposable # L& (ế) LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
1EC1          ; LATIN ; Decomposable # L& (ề) LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE
1EC5          ; LATIN ; Decomposable # L& (ễ) LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE
1EC3          ; LATIN ; Decomposable # L& (ể) LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
011B          ; LATIN ; Decomposable # L& (ě) LATIN SMALL LETTER E WITH CARON
00EB          ; LATIN ; Decomposable # L& (ë) LATIN SMALL LETTER E WITH DIAERESIS
1EBD          ; LATIN ; Decomposable # L& (ẽ) LATIN SMALL LETTER E WITH TILDE
0117          ; LATIN ; Decomposable # L& (ė) LATIN SMALL LETTER E WITH DOT ABOVE
0229          ; LATIN ; Decomposable # L& (ȩ) LATIN SMALL LETTER E WITH CEDILLA
1E1D          ; LATIN ; Decomposable # L& (ḝ) LATIN SMALL LETTER E WITH CEDILLA AND BREVE
0119          ; LATIN ; Decomposable # L& (ę) LATIN SMALL LETTER E WITH OGONEK
0113          ; LATIN ; Decomposable # L& (ē) LATIN SMALL LETTER E WITH MACRON
1E17          ; LATIN ; Decomposable # L& (ḗ) LATIN SMALL LETTER E WITH MACRON AND ACUTE
1E15          ; LATIN ; Decomposable # L& (ḕ) LATIN SMALL LETTER E WITH MACRON AND GRAVE
1EBB          ; LATIN ; Decomposable # L& (ẻ) LATIN SMALL LETTER E WITH HOOK ABOVE
0205          ; LATIN ; Decomposable # L& (ȅ) LATIN SMALL LETTER E WITH DOUBLE GRAVE
0207          ; LATIN ; Decomposable # L& (ȇ) LATIN SMALL LETTER E WITH INVERTED BREVE
1EB9          ; LATIN ; Decomposable # L& (ẹ) LATIN SMALL LETTER E WITH DOT BELOW
